#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (-0.000003, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -0.000019, 0.000000) AU/year

#Object 2 Info:
#Object: Earth
#   Mass: 0.000003 Solar masses
#   Position: (0.999997, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 6.283166, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Earth_x,Earth_y,Earth_z
0,-3.00269e-06,0,0,0.999997,0,0
0.01,-2.99676e-06,-1.88541e-07,0,0.998022,0.0627903,0
0.02,-2.979e-06,-3.76337e-07,0,0.992108,0.125333,0
0.03,-2.94948e-06,-5.62647e-07,0,0.982276,0.18738,0
0.04,-2.90832e-06,-7.46736e-07,0,0.968567,0.248688,0
0.05,-2.85567e-06,-9.27877e-07,0,0.951034,0.309014,0
0.06,-2.79175e-06,-1.10535e-06,0,0.929746,0.36812,0
0.07,-2.7168e-06,-1.27847e-06,0,0.904787,0.425773,0
0.08,-2.63113e-06,-1.44653e-06,0,0.876256,0.481745,0
0.09,-2.53507e-06,-1.60889e-06,0,0.844265,0.535814,0
0.1,-2.429e-06,-1.76489e-06,0,0.80894,0.587768,0
0.11,-2.31334e-06,-1.91392e-06,0,0.770421,0.637401,0
0.12,-2.18855e-06,-2.0554e-06,0,0.72886,0.684516,0
0.13,-2.05511e-06,-2.18876e-06,0,0.684421,0.728929,0
0.14,-1.91356e-06,-2.31347e-06,0,0.637279,0.770463,0
0.15,-1.76445e-06,-2.42905e-06,0,0.58762,0.808954,0
0.16,-1.60837e-06,-2.53503e-06,0,0.53564,0.844251,0
0.17,-1.44593e-06,-2.631e-06,0,0.481544,0.876212,0
0.18,-1.27779e-06,-2.71658e-06,0,0.425546,0.904713,0
0.19,-1.1046e-06,-2.79143e-06,0,0.367868,0.929639,0
0.2,-9.2704e-07,-2.85525e-06,0,0.308736,0.950894,0
0.21,-7.45822e-07,-2.90779e-06,0,0.248384,0.968391,0
0.22,-5.61658e-07,-2.94884e-06,0,0.187051,0.982063,0
0.23,-3.75274e-07,-2.97824e-06,0,0.124979,0.991854,0
0.24,-1.87407e-07,-2.99587e-06,0,0.0624129,0.997726,0
0.25,1.20015e-09,-3.00166e-06,0,-0.00039969,0.999655,0
0.26,1.89803e-07,-2.9956e-06,0,-0.0632107,0.997634,0
0.27,3.77655e-07,-2.97769e-06,0,-0.125772,0.99167,0
0.28,5.64015e-07,-2.94801e-06,0,-0.187836,0.981786,0
0.29,7.48145e-07,-2.90668e-06,0,-0.249158,0.968022,0
0.3,9.29319e-07,-2.85386e-06,0,-0.309494,0.950432,0
0.31,1.10682e-06,-2.78976e-06,0,-0.368608,0.929084,0
0.32,1.27994e-06,-2.71463e-06,0,-0.426264,0.904063,0
