#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (0.004959, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 0.002627, 0.000000) AU/year

#Object 2 Info:
#Object: Jupiter
#   Mass: 0.000955 Solar masses
#   Position: (-5.195041, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -2.752226, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Jupiter_x,Jupiter_y,Jupiter_z
0,0.00495912,0,0,-5.19504,0,0
0.01,0.00495905,2.62723e-05,0,-5.19497,-0.0275221,0
0.02,0.00495884,5.25439e-05,0,-5.19475,-0.0550435,0
0.03,0.0049585,7.88139e-05,0,-5.19438,-0.0825633,0
0.04,0.00495801,0.000105082,0,-5.19387,-0.110081,0
0.05,0.00495738,0.000131347,0,-5.19322,-0.137595,0
0.06,0.00495662,0.000157608,0,-5.19241,-0.165106,0
0.07,0.00495571,0.000183865,0,-5.19146,-0.192612,0
0.08,0.00495466,0.000210116,0,-5.19037,-0.220112,0
0.09,0.00495348,0.000236362,0,-5.18913,-0.247606,0
0.1,0.00495216,0.000262601,0,-5.18774,-0.275094,0
0.11,0.00495069,0.000288833,0,-5.18621,-0.302573,0
0.12,0.00494909,0.000315056,0,-5.18453,-0.330044,0
0.13,0.00494735,0.000341271,0,-5.18271,-0.357506,0
0.14,0.00494547,0.000367476,0,-5.18074,-0.384958,0
0.15,0.00494345,0.000393671,0,-5.17862,-0.412399,0
0.16,0.00494129,0.000419855,0,-5.17636,-0.439828,0
0.17,0.004939,0.000446027,0,-5.17396,-0.467245,0
0.18,0.00493656,0.000472186,0,-5.17141,-0.494649,0
0.19,0.00493399,0.000498332,0,-5.16871,-0.522039,0
0.2,0.00493128,0.000524464,0,-5.16587,-0.549414,0
0.21,0.00492842,0.000550582,0,-5.16288,-0.576774,0
0.22,0.00492543,0.000576684,0,-5.15975,-0.604118,0
0.23,0.00492231,0.000602769,0,-5.15647,-0.631445,0
0.24,0.00491904,0.000628838,0,-5.15305,-0.658754,0
0.25,0.00491563,0.000654889,0,-5.14948,-0.686044,0
0.26,0.00491209,0.000680922,0,-5.14577,-0.713315,0
0.27,0.00490841,0.000706936,0,-5.14191,-0.740566,0
0.28,0.00490459,0.000732929,0,-5.13791,-0.767796,0
0.29,0.00490063,0.000758902,0,-5.13377,-0.795005,0
0.3,0.00489654,0.000784854,0,-5.12948,-0.822191,0
0.31,0.00489231,0.000810784,0,-5.12504,-0.849355,0
0.32,0.00488794,0.000836691,0,-5.12047,-0.876494,0
0.33,0.00488343,0.000862574,0,-5.11575,-0.903609,0
0.34,0.00487878,0.000888433,0,-5.11088,-0.930698,0
0.35,0.004874,0.000914267,0,-5.10587,-0.957761,0
0.36,0.00486908,0.000940076,0,-5.10072,-0.984798,0
0.37,0.00486403,0.000965858,0,-5.09542,-1.01181,0
0.38,0.00485884,0.000991613,0,-5.08998,-1.03879,0
0.39,0.00485351,0.00101734,0,-5.0844,-1.06574,0
0.4,0.00484804,0.00104304,0,-5.07868,-1.09266,0
0.41,0.00484244,0.00106871,0,-5.07281,-1.11955,0
0.42,0.0048367,0.00109435,0,-5.0668,-1.14641,0
0.43,0.00483083,0.00111996,0,-5.06064,-1.17323,0
0.44,0.00482482,0.00114553,0,-5.05435,-1.20003,0
0.45,0.00481868,0.00117108,0,-5.04791,-1.22679,0
0.46,0.0048124,0.00119659,0,-5.04133,-1.25351,0
0.47,0.00480598,0.00122207,0,-5.03461,-1.2802,0
0.48,0.00479943,0.00124751,0,-5.02775,-1.30686,0
0.49,0.00479274,0.00127292,0,-5.02075,-1.33347,0
0.5,0.00478592,0.00129829,0,-5.0136,-1.36005,0
0.51,0.00477897,0.00132363,0,-5.00632,-1.3866,0
0.52,0.00477188,0.00134893,0,-4.99889,-1.4131,0
0.53,0.00476466,0.00137419,0,-4.99132,-1.43956,0
0.54,0.0047573,0.00139941,0,-4.98362,-1.46598,0
0.55,0.00474981,0.00142459,0,-4.97577,-1.49237,0
0.56,0.00474219,0.00144974,0,-4.96778,-1.51871,0
0.57,0.00473443,0.00147484,0,-4.95966,-1.545,0
0.58,0.00472654,0.0014999,0,-4.95139,-1.57126,0
0.59,0.00471851,0.00152492,0,-4.94298,-1.59746,0
0.6,0.00471036,0.0015499,0,-4.93444,-1.62363,0
0.61,0.00470207,0.00157483,0,-4.92576,-1.64975,0
0.62,0.00469365,0.00159972,0,-4.91694,-1.67582,0
0.63,0.00468509,0.00162456,0,-4.90798,-1.70185,0
0.64,0.00467641,0.00164936,0,-4.89888,-1.72782,0
0.65,0.00466759,0.00167411,0,-4.88964,-1.75375,0
0.66,0.00465865,0.00169881,0,-4.88027,-1.77963,0
0.67,0.00464957,0.00172347,0,-4.87076,-1.80546,0
0.68,0.00464036,0.00174808,0,-4.86111,-1.83124,0
0.69,0.00463102,0.00177264,0,-4.85133,-1.85697,0
0.7,0.00462155,0.00179715,0,-4.84141,-1.88264,0
0.71,0.00461195,0.0018216,0,-4.83135,-1.90826,0
0.72,0.00460222,0.00184601,0,-4.82116,-1.93383,0
0.73,0.00459237,0.00187037,0,-4.81084,-1.95935,0
0.74,0.00458238,0.00189467,0,-4.80037,-1.9848,0
0.75,0.00457226,0.00191892,0,-4.78978,-2.01021,0
0.76,0.00456202,0.00194312,0,-4.77904,-2.03555,0
0.77,0.00455164,0.00196726,0,-4.76818,-2.06084,0
0.78,0.00454114,0.00199134,0,-4.75718,-2.08607,0
0.79,0.00453051,0.00201537,0,-4.74604,-2.11125,0
0.8,0.00451976,0.00203934,0,-4.73477,-2.13636,0
0.81,0.00450888,0.00206326,0,-4.72337,-2.16141,0
0.82,0.00449787,0.00208712,0,-4.71184,-2.18641,0
0.83,0.00448673,0.00211092,0,-4.70017,-2.21134,0
0.84,0.00447547,0.00213466,0,-4.68838,-2.23621,0
0.85,0.00446408,0.00215834,0,-4.67645,-2.26101,0
0.86,0.00445256,0.00218196,0,-4.66438,-2.28576,0
0.87,0.00444093,0.00220551,0,-4.65219,-2.31043,0
0.88,0.00442916,0.00222901,0,-4.63987,-2.33505,0
0.89,0.00441727,0.00225244,0,-4.62741,-2.3596,0
0.9,0.00440526,0.00227581,0,-4.61483,-2.38408,0
0.91,0.00439312,0.00229912,0,-4.60212,-2.40849,0
0.92,0.00438086,0.00232236,0,-4.58927,-2.43284,0
0.93,0.00436848,0.00234553,0,-4.5763,-2.45712,0
0.94,0.00435598,0.00236864,0,-4.5632,-2.48133,0
0.95,0.00434335,0.00239169,0,-4.54997,-2.50546,0
0.96,0.0043306,0.00241466,0,-4.53661,-2.52953,0
0.97,0.00431772,0.00243757,0,-4.52313,-2.55353,0
0.98,0.00430473,0.00246041,0,-4.50952,-2.57746,0
0.99,0.00429162,0.00248318,0,-4.49578,-2.60131,0
1,0.00427838,0.00250588,0,-4.48191,-2.62509,0
1.01,0.00426502,0.00252851,0,-4.46792,-2.6488,0
1.02,0.00425155,0.00255107,0,-4.45381,-2.67243,0
1.03,0.00423795,0.00257356,0,-4.43956,-2.69599,0
1.04,0.00422424,0.00259597,0,-4.4252,-2.71947,0
1.05,0.00421041,0.00261831,0,-4.41071,-2.74287,0
1.06,0.00419645,0.00264058,0,-4.39609,-2.7662,0
1.07,0.00418239,0.00266278,0,-4.38135,-2.78945,0
1.08,0.0041682,0.00268489,0,-4.36649,-2.81262,0
1.09,0.00415389,0.00270694,0,-4.3515,-2.83571,0
1.1,0.00413947,0.00272891,0,-4.3364,-2.85873,0
1.11,0.00412493,0.0027508,0,-4.32117,-2.88166,0
1.12,0.00411028,0.00277261,0,-4.30582,-2.90451,0
1.13,0.00409551,0.00279434,0,-4.29035,-2.92728,0
1.14,0.00408063,0.002816,0,-4.27475,-2.94997,0
1.15,0.00406563,0.00283758,0,-4.25904,-2.97257,0
1.16,0.00405051,0.00285908,0,-4.24321,-2.99509,0
1.17,0.00403529,0.00288049,0,-4.22726,-3.01753,0
1.18,0.00401995,0.00290183,0,-4.21118,-3.03988,0
1.19,0.00400449,0.00292308,0,-4.195,-3.06214,0
1.2,0.00398893,0.00294426,0,-4.17869,-3.08432,0
1.21,0.00397325,0.00296535,0,-4.16226,-3.10642,0
1.22,0.00395746,0.00298635,0,-4.14572,-3.12842,0
1.23,0.00394155,0.00300728,0,-4.12906,-3.15034,0
1.24,0.00392554,0.00302811,0,-4.11229,-3.17217,0
1.25,0.00390942,0.00304887,0,-4.0954,-3.19391,0
1.26,0.00389319,0.00306953,0,-4.07839,-3.21556,0
1.27,0.00387684,0.00309011,0,-4.06127,-3.23712,0
1.28,0.00386039,0.00311061,0,-4.04404,-3.25859,0
1.29,0.00384383,0.00313101,0,-4.02669,-3.27996,0
1.3,0.00382716,0.00315133,0,-4.00923,-3.30125,0
1.31,0.00381039,0.00317156,0,-3.99166,-3.32244,0
1.32,0.0037935,0.0031917,0,-3.97397,-3.34354,0
1.33,0.00377651,0.00321175,0,-3.95617,-3.36454,0
1.34,0.00375942,0.00323171,0,-3.93826,-3.38545,0
1.35,0.00374222,0.00325158,0,-3.92024,-3.40626,0
1.36,0.00372491,0.00327136,0,-3.90211,-3.42698,0
