#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (-2.544233, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -1.348632, 0.000000) AU/year

#Object 2 Info:
#Object: Mercury
#   Mass: 0.000000 Solar masses
#   Position: (-2.157233, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 8.701368, 0.000000) AU/year

#Object 3 Info:
#Object: Venus
#   Mass: 0.000002 Solar masses
#   Position: (-1.821232, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 6.031370, 0.000000) AU/year

#Object 4 Info:
#Object: Earth
#   Mass: 0.000003 Solar masses
#   Position: (-1.544231, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 4.934388, 0.000000) AU/year

#Object 5 Info:
#Object: Mars
#   Mass: 0.000000 Solar masses
#   Position: (-1.020228, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 3.731407, 0.000000) AU/year

#Object 6 Info:
#Object: Jupiter
#   Mass: 0.955000 Solar masses
#   Position: (2.658773, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.411408, 0.000000) AU/year

#Object 7 Info:
#Object: Saturn
#   Mass: 0.000286 Solar masses
#   Position: (9.534384, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 2.039640, 0.000000) AU/year

#Object 8 Info:
#Object: Uranus
#   Mass: 0.000044 Solar masses
#   Position: (19.189779, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.429938, 0.000000) AU/year

#Object 9 Info:
#Object: Neptune
#   Mass: 0.000051 Solar masses
#   Position: (30.069208, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.139970, 0.000000) AU/year

#Object 10 Info:
#Object: Pluto
#   Mass: 0.000000 Solar masses
#   Position: (39.480000, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 0.990000, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 30.000000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Mercury_x,Mercury_y,Mercury_z,Venus_x,Venus_y,Venus_z,Earth_x,Earth_y,Earth_z,Mars_x,Mars_y,Mars_z,Jupiter_x,Jupiter_y,Jupiter_z,Saturn_x,Saturn_y,Saturn_z,Uranus_x,Uranus_y,Uranus_z,Neptune_x,Neptune_y,Neptune_z,Pluto_x,Pluto_y,Pluto_z
0,-2.54423,0,0,-2.15723,0,0,-1.82123,0,0,-1.54423,0,0,-1.02023,0,0,2.65877,0,0,9.53438,0,0,19.1898,0,0,30.0692,0,0,39.48,0,0
0.01,-2.54416,-0.0134862,0,-2.1704,0.0858718,0,-1.82492,0.0601849,0,-1.5461,0.0493022,0,-1.02094,0.0373043,0,2.6587,0.014114,0,9.53433,0.0203964,0,19.1898,0.0142994,0,30.0692,0.0113997,0,39.48,0.0099,0
0.02,-2.54395,-0.0269716,0,-2.20892,0.16496,0,-1.83593,0.119598,0,-1.55169,0.0983549,0,-1.02307,0.0745503,0,2.65848,0.0282271,0,9.53417,0.0407926,0,19.1897,0.0285987,0,30.0692,0.0227994,0,39.48,0.0198,0
0.03,-2.54361,-0.0404556,0,-2.27026,0.230881,0,-1.85415,0.177477,0,-1.56099,0.146909,0,-1.02662,0.11168,0,2.65812,0.0423388,0,9.5339,0.0611885,0,19.1897,0.0428981,0,30.0692,0.0341991,0,39.48,0.0297,0
0.04,-2.54312,-0.0539374,0,-2.35032,0.278047,0,-1.87938,0.233075,0,-1.57395,0.19472,0,-1.03158,0.148634,0,2.65761,0.0564481,0,9.53353,0.081584,0,19.1896,0.0571974,0,30.0691,0.0455988,0,39.48,0.0396,0
0.05,-2.54249,-0.0674161,0,-2.44369,0.302044,0,-1.91136,0.285669,0,-1.59052,0.241543,0,-1.03794,0.185356,0,2.65695,0.0705543,0,9.53305,0.101979,0,19.1895,0.0714967,0,30.0691,0.0569984,0,39.4799,0.0495,0
0.06,-2.54172,-0.0808912,0,-2.54389,0.299958,0,-1.94975,0.334569,0,-1.61064,0.287142,0,-1.04571,0.221789,0,2.65615,0.0846566,0,9.53246,0.122373,0,19.1894,0.0857959,0,30.0691,0.0683981,0,39.4799,0.0594,0
0.07,-2.54082,-0.0943618,0,-2.6438,0.27065,0,-1.99414,0.379123,0,-1.6342,0.331282,0,-1.05486,0.257875,0,2.6552,0.0987543,0,9.53177,0.142766,0,19.1892,0.100095,0,30.069,0.0797978,0,39.4799,0.0692999,0
0.08,-2.53977,-0.107827,0,-2.73611,0.214922,0,-2.04406,0.418726,0,-1.66113,0.37374,0,-1.06538,0.29356,0,2.65411,0.112847,0,9.53097,0.163158,0,19.1891,0.114394,0,30.0689,0.0911974,0,39.4798,0.0791999,0
0.09,-2.53859,-0.121287,0,-2.81393,0.135559,0,-2.09898,0.452821,0,-1.6913,0.414295,0,-1.07727,0.328786,0,2.65287,0.126933,0,9.53006,0.183549,0,19.1889,0.128693,0,30.0689,0.102597,0,39.4798,0.0890999,0
0.1,-2.53727,-0.134739,0,-2.87125,0.0372017,0,-2.15833,0.48091,0,-1.7246,0.452737,0,-1.09049,0.363502,0,2.65148,0.141012,0,9.52904,0.203939,0,19.1887,0.142992,0,30.0688,0.113997,0,39.4797,0.0989998,0
0.11,-2.5358,-0.148185,0,-2.90358,-0.0739588,0,-2.22148,0.502555,0,-1.76088,0.488866,0,-1.10505,0.397652,0,2.64995,0.155083,0,9.52792,0.224327,0,19.1884,0.157291,0,30.0687,0.125396,0,39.4797,0.1089,0
0.12,-2.5342,-0.161622,0,-2.90829,-0.190663,0,-2.28775,0.517382,0,-1.8,0.522489,0,-1.12091,0.431185,0,2.64827,0.169146,0,9.52669,0.244714,0,19.1882,0.171589,0,30.0686,0.136796,0,39.4796,0.1188,0
0.13,-2.53246,-0.17505,0,-2.88492,-0.305188,0,-2.35646,0.525085,0,-1.8418,0.553424,0,-1.13806,0.46405,0,2.64645,0.183199,0,9.52536,0.265099,0,19.1879,0.185888,0,30.0685,0.148195,0,39.4796,0.1287,0
0.14,-2.53057,-0.188469,0,-2.8352,-0.410017,0,-2.42686,0.525432,0,-1.88612,0.581501,0,-1.15647,0.496196,0,2.64448,0.197243,0,9.52392,0.285481,0,19.1876,0.200186,0,30.0684,0.159595,0,39.4795,0.1386,0
0.15,-2.52855,-0.201877,0,-2.76285,-0.498466,0,-2.49821,0.518263,0,-1.93276,0.60656,0,-1.17612,0.527575,0,2.64236,0.211275,0,9.52237,0.305862,0,19.1873,0.214485,0,30.0682,0.170994,0,39.4794,0.148499,0
