#Object 1 Info:
#Object: Sun 1
#   Mass: 0.500000 Solar masses
#   Position: (2.600000, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.377427, 0.000000) AU/year

#Object 2 Info:
#Object: Sun 2
#   Mass: 0.500000 Solar masses
#   Position: (-2.600000, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -1.377427, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun 1_x,Sun 1_y,Sun 1_z,Sun 2_x,Sun 2_y,Sun 2_z
0,2.6,0,0,-2.6,0,0
0.01,2.59996,0.0137742,0,-2.59996,-0.0137742,0
0.02,2.59985,0.027548,0,-2.59985,-0.027548,0
0.03,2.59967,0.0413211,0,-2.59967,-0.0413211,0
0.04,2.59942,0.0550929,0,-2.59942,-0.0550929,0
0.05,2.59909,0.0688633,0,-2.59909,-0.0688633,0
0.06,2.59869,0.0826317,0,-2.59869,-0.0826317,0
0.07,2.59821,0.0963978,0,-2.59821,-0.0963978,0
0.08,2.59766,0.110161,0,-2.59766,-0.110161,0
0.09,2.59704,0.123921,0,-2.59704,-0.123921,0
0.1,2.59635,0.137678,0,-2.59635,-0.137678,0
0.11,2.59558,0.151431,0,-2.59558,-0.151431,0
0.12,2.59475,0.16518,0,-2.59475,-0.16518,0
0.13,2.59383,0.178924,0,-2.59383,-0.178924,0
0.14,2.59285,0.192663,0,-2.59285,-0.192663,0
0.15,2.59179,0.206397,0,-2.59179,-0.206397,0
0.16,2.59066,0.220124,0,-2.59066,-0.220124,0
0.17,2.58946,0.233846,0,-2.58946,-0.233846,0
0.18,2.58818,0.247561,0,-2.58818,-0.247561,0
0.19,2.58683,0.261269,0,-2.58683,-0.261269,0
0.2,2.58541,0.27497,0,-2.58541,-0.27497,0
0.21,2.58392,0.288663,0,-2.58392,-0.288663,0
0.22,2.58235,0.302348,0,-2.58235,-0.302348,0
0.23,2.58072,0.316024,0,-2.58072,-0.316024,0
0.24,2.579,0.329692,0,-2.579,-0.329692,0
0.25,2.57722,0.34335,0,-2.57722,-0.34335,0
0.26,2.57536,0.356999,0,-2.57536,-0.356999,0
0.27,2.57344,0.370638,0,-2.57344,-0.370638,0
0.28,2.57144,0.384266,0,-2.57144,-0.384266,0
0.29,2.56936,0.397884,0,-2.56936,-0.397884,0
0.3,2.56722,0.41149,0,-2.56722,-0.41149,0
0.31,2.565,0.425085,0,-2.565,-0.425085,0
0.32,2.56271,0.438667,0,-2.56271,-0.438667,0
0.33,2.56035,0.452238,0,-2.56035,-0.452238,0
0.34,2.55792,0.465796,0,-2.55792,-0.465796,0
0.35,2.55542,0.47934,0,-2.55542,-0.47934,0
0.36,2.55284,0.492872,0,-2.55284,-0.492872,0
0.37,2.55019,0.506389,0,-2.55019,-0.506389,0
0.38,2.54747,0.519892,0,-2.54747,-0.519892,0
0.39,2.54468,0.533381,0,-2.54468,-0.533381,0
0.4,2.54182,0.546855,0,-2.54182,-0.546855,0
0.41,2.53888,0.560313,0,-2.53888,-0.560313,0
0.42,2.53588,0.573755,0,-2.53588,-0.573755,0
0.43,2.5328,0.587182,0,-2.5328,-0.587182,0
0.44,2.52965,0.600592,0,-2.52965,-0.600592,0
0.45,2.52644,0.613985,0,-2.52644,-0.613985,0
0.46,2.52315,0.627361,0,-2.52315,-0.627361,0
0.47,2.51979,0.640719,0,-2.51979,-0.640719,0
0.48,2.51636,0.654059,0,-2.51636,-0.654059,0
0.49,2.51285,0.667381,0,-2.51285,-0.667381,0
0.5,2.50928,0.680684,0,-2.50928,-0.680684,0
0.51,2.50564,0.693968,0,-2.50564,-0.693968,0
0.52,2.50193,0.707233,0,-2.50193,-0.707233,0
0.53,2.49814,0.720478,0,-2.49814,-0.720478,0
0.54,2.49429,0.733702,0,-2.49429,-0.733702,0
0.55,2.49037,0.746906,0,-2.49037,-0.746906,0
0.56,2.48637,0.760089,0,-2.48637,-0.760089,0
0.57,2.48231,0.77325,0,-2.48231,-0.77325,0
