#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (-0.000003, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -0.000019, 0.000000) AU/year

#Object 2 Info:
#Object: Earth
#   Mass: 0.000003 Solar masses
#   Position: (0.999997, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 6.283166, 0.000000) AU/year

#Object 3 Info:
#Object: Moon
#   Mass: 0.000000 Solar masses
#   Position: (1.002570, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 6.518176, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Earth_x,Earth_y,Earth_z,Moon_x,Moon_y,Moon_z
0,-3.03973e-06,0,0,0.999997,0,0,1.00257,0,0
0.01,-3.03372e-06,-1.90947e-07,0,0.998034,0.0627936,0,0.999632,0.0648744,0
0.02,-3.01575e-06,-3.8114e-07,0,0.992145,0.125356,0,0.991719,0.128128,0
0.03,-2.98587e-06,-5.69828e-07,0,0.982336,0.187442,0,0.980119,0.189385,0
0.04,-2.9442e-06,-7.56267e-07,0,0.968637,0.248799,0,0.965656,0.248991,0
0.05,-2.89091e-06,-9.39721e-07,0,0.951099,0.309176,0,0.948674,0.307521,0
0.06,-2.82621e-06,-1.11947e-06,0,0.929793,0.368322,0,0.929053,0.365603,0
0.07,-2.75035e-06,-1.29479e-06,0,0.904812,0.425997,0,0.906138,0.423674,0
0.08,-2.66364e-06,-1.46501e-06,0,0.87627,0.481973,0,0.878828,0.481512,0
0.09,-2.56642e-06,-1.62944e-06,0,0.844291,0.536043,0,0.846343,0.537773,0
0.1,-2.45907e-06,-1.78745e-06,0,0.808996,0.58801,0,0.809286,0.590867,0
0.11,-2.34201e-06,-1.93839e-06,0,0.770509,0.637675,0,0.768908,0.640213,0
0.12,-2.21571e-06,-2.0817e-06,0,0.728973,0.684836,0,0.726202,0.685921,0
0.13,-2.08067e-06,-2.21678e-06,0,0.684546,0.729302,0,0.681865,0.728426,0
0.14,-1.93743e-06,-2.34313e-06,0,0.637401,0.770885,0,0.636236,0.768498,0
0.15,-1.78654e-06,-2.46022e-06,0,0.587733,0.809409,0,0.588814,0.807025,0
0.16,-1.6286e-06,-2.56762e-06,0,0.535755,0.84472,0,0.538346,0.843933,0
0.17,-1.46424e-06,-2.66488e-06,0,0.481683,0.876694,0,0.484212,0.877989,0
0.18,-1.2941e-06,-2.75164e-06,0,0.425727,0.905219,0,0.426874,0.907937,0
0.19,-1.11886e-06,-2.82754e-06,0,0.368099,0.930188,0,0.367338,0.933082,0
0.2,-9.39207e-07,-2.8923e-06,0,0.309014,0.951506,0,0.306701,0.953293,0
0.21,-7.55853e-07,-2.94565e-06,0,0.248699,0.969082,0,0.245956,0.968908,0
0.22,-5.69519e-07,-2.98739e-06,0,0.187383,0.982836,0,0.185805,0.980793,0
0.23,-3.80939e-07,-3.01736e-06,0,0.125315,0.9927,0,0.126004,0.990194,0
0.24,-1.90859e-07,-3.03543e-06,0,0.0627598,0.998631,0,0.0652382,0.997356,0
0.25,-2.60236e-11,-3.04154e-06,0,-2.64801e-05,1.00062,0,0.00285694,1.00127,0
0.26,1.90807e-07,-3.03567e-06,0,-0.0627964,0.998665,0,-0.0608576,1.00095,0
0.27,3.80888e-07,-3.01783e-06,0,-0.125308,0.99279,0,-0.125187,0.995705,0
0.28,5.69468e-07,-2.98811e-06,0,-0.187326,0.98302,0,-0.189086,0.985178,0
0.29,7.55806e-07,-2.94661e-06,0,-0.248617,0.969393,0,-0.251278,0.969614,0
