#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (0.049166, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 0.026030, 0.000000) AU/year

#Object 2 Info:
#Object: Earth
#   Mass: 0.000003 Solar masses
#   Position: (1.049166, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 6.309215, 0.000000) AU/year

#Object 3 Info:
#Object: Jupiter
#   Mass: 0.009546 Solar masses
#   Position: (-5.150831, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -2.728804, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Earth_x,Earth_y,Earth_z,Jupiter_x,Jupiter_y,Jupiter_z
0,0.0491661,0,0,1.04917,0,0,-5.15083,0,0
0.01,0.0491654,0.000260298,0,1.04719,0.0630508,0,-5.15076,-0.0272879,0
0.02,0.0491633,0.000520589,0,1.04127,0.125854,0,-5.15054,-0.0545751,0
0.03,0.0491598,0.000780867,0,1.03144,0.188162,0,-5.15017,-0.0818607,0
0.04,0.049155,0.00104112,0,1.01773,0.24973,0,-5.14966,-0.109144,0
0.05,0.0491488,0.00130136,0,1.00019,0.310316,0,-5.14901,-0.136424,0
0.06,0.0491412,0.00156155,0,0.978897,0.369683,0,-5.1482,-0.1637,0
0.07,0.0491322,0.00182171,0,0.953932,0.427596,0,-5.14725,-0.190972,0
0.08,0.0491218,0.00208182,0,0.925394,0.483827,0,-5.14616,-0.218238,0
0.09,0.0491101,0.00234188,0,0.893395,0.538157,0,-5.14492,-0.245498,0
0.1,0.049097,0.00260188,0,0.858061,0.590371,0,-5.14353,-0.272752,0
0.11,0.0490825,0.00286181,0,0.819532,0.640264,0,-5.142,-0.299997,0
0.12,0.0490666,0.00312167,0,0.77796,0.68764,0,-5.14032,-0.327234,0
0.13,0.0490493,0.00338145,0,0.733509,0.732313,0,-5.1385,-0.354461,0
0.14,0.0490306,0.00364114,0,0.686354,0.774107,0,-5.13653,-0.381679,0
0.15,0.0490106,0.00390073,0,0.636681,0.812858,0,-5.13441,-0.408886,0
0.16,0.0489892,0.00416023,0,0.584686,0.848414,0,-5.13215,-0.436081,0
0.17,0.0489664,0.00441961,0,0.530574,0.880636,0,-5.12975,-0.463264,0
0.18,0.0489422,0.00467889,0,0.474559,0.909397,0,-5.1272,-0.490433,0
0.19,0.0489166,0.00493804,0,0.416862,0.934584,0,-5.1245,-0.517589,0
0.2,0.0488897,0.00519706,0,0.35771,0.956099,0,-5.12166,-0.54473,0
0.21,0.0488613,0.00545594,0,0.297338,0.973857,0,-5.11867,-0.571856,0
0.22,0.0488316,0.00571468,0,0.235982,0.987789,0,-5.11554,-0.598965,0
0.23,0.0488005,0.00597327,0,0.173886,0.99784,0,-5.11226,-0.626058,0
0.24,0.048768,0.00623171,0,0.111295,1.00397,0,-5.10884,-0.653132,0
0.25,0.0487342,0.00648998,0,0.048455,1.00616,0,-5.10527,-0.680188,0
0.26,0.0486989,0.00674807,0,-0.0143849,1.0044,0,-5.10156,-0.707225,0
0.27,0.0486623,0.00700599,0,-0.0769766,0.998696,0,-5.0977,-0.734242,0
0.28,0.0486243,0.00726372,0,-0.139073,0.989071,0,-5.0937,-0.761238,0
0.29,0.0485849,0.00752125,0,-0.200429,0.975565,0,-5.08956,-0.788213,0
0.3,0.0485441,0.00777859,0,-0.260802,0.958232,0,-5.08527,-0.815165,0
0.31,0.048502,0.00803571,0,-0.319953,0.937141,0,-5.08083,-0.842094,0
0.32,0.0484584,0.00829262,0,-0.377648,0.912376,0,-5.07625,-0.868999,0
0.33,0.0484135,0.0085493,0,-0.433661,0.884035,0,-5.07153,-0.895879,0
0.34,0.0483672,0.00880575,0,-0.487768,0.852232,0,-5.06667,-0.922734,0
0.35,0.0483196,0.00906196,0,-0.539756,0.817092,0,-5.06166,-0.949563,0
0.36,0.0482705,0.00931793,0,-0.58942,0.778756,0,-5.0565,-0.976365,0
0.37,0.0482201,0.00957363,0,-0.636563,0.737376,0,-5.05121,-1.00314,0
0.38,0.0481683,0.00982908,0,-0.680998,0.693115,0,-5.04577,-1.02989,0
0.39,0.0481152,0.0100843,0,-0.72255,0.646151,0,-5.04018,-1.0566,0
0.4,0.0480606,0.0103391,0,-0.761055,0.59667,0,-5.03446,-1.08329,0
0.41,0.0480047,0.0105938,0,-0.796359,0.544868,0,-5.02859,-1.10994,0
0.42,0.0479474,0.0108481,0,-0.828324,0.49095,0,-5.02258,-1.13657,0
0.43,0.0478888,0.0111021,0,-0.856823,0.435132,0,-5.01642,-1.16316,0
0.44,0.0478287,0.0113558,0,-0.881742,0.377635,0,-5.01013,-1.18972,0
0.45,0.0477673,0.0116092,0,-0.902984,0.318688,0,-5.00369,-1.21625,0
0.46,0.0477046,0.0118622,0,-0.920464,0.258524,0,-4.99711,-1.24274,0
0.47,0.0476405,0.012115,0,-0.934114,0.197384,0,-4.99039,-1.26919,0
0.48,0.047575,0.0123673,0,-0.943879,0.135509,0,-4.98352,-1.29561,0
0.49,0.0475081,0.0126194,0,-0.949721,0.0731458,0,-4.97652,-1.32199,0
0.5,0.0474399,0.0128711,0,-0.951617,0.0105425,0,-4.96937,-1.34834,0
