#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (-0.010078, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -0.003377, 0.000000) AU/year

#Object 2 Info:
#Object: Mercury
#   Mass: 0.000000 Solar masses
#   Position: (0.376922, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 10.046623, 0.000000) AU/year

#Object 3 Info:
#Object: Venus
#   Mass: 0.000002 Solar masses
#   Position: (0.712922, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 7.376624, 0.000000) AU/year

#Object 4 Info:
#Object: Earth
#   Mass: 0.000003 Solar masses
#   Position: (0.989924, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 6.279642, 0.000000) AU/year

#Object 5 Info:
#Object: Mars
#   Mass: 0.000000 Solar masses
#   Position: (1.513927, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 5.076661, 0.000000) AU/year

#Object 6 Info:
#Object: Jupiter
#   Mass: 0.000955 Solar masses
#   Position: (5.192928, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 2.756663, 0.000000) AU/year

#Object 7 Info:
#Object: Saturn
#   Mass: 0.000286 Solar masses
#   Position: (9.531892, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 2.039296, 0.000000) AU/year

#Object 8 Info:
#Object: Uranus
#   Mass: 0.000044 Solar masses
#   Position: (19.188616, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.429879, 0.000000) AU/year

#Object 9 Info:
#Object: Neptune
#   Mass: 0.000051 Solar masses
#   Position: (30.068453, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.139941, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 30.000000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Mercury_x,Mercury_y,Mercury_z,Venus_x,Venus_y,Venus_z,Earth_x,Earth_y,Earth_z,Mars_x,Mars_y,Mars_z,Jupiter_x,Jupiter_y,Jupiter_z,Saturn_x,Saturn_y,Saturn_z,Uranus_x,Uranus_y,Uranus_z,Neptune_x,Neptune_y,Neptune_z
0,-0.0100777,0,0,0.376922,0,0,0.712922,0,0,0.989924,0,0,1.51393,0,0,5.19293,0,0,9.53189,0,0,19.1886,0,0,30.0685,0,0
0.01,-0.0100776,-3.37721e-05,0,0.363671,0.0993247,0,0.709143,0.0736378,0,0.98795,0.0627551,0,1.51308,0.0507572,0,5.19285,0.0275665,0,9.53187,0.0203929,0,19.1886,0.0142988,0,30.0685,0.0113994,0
0.02,-0.0100773,-6.75396e-05,0,0.32491,0.191868,0,0.697851,0.146506,0,0.982035,0.125262,0,1.51053,0.101458,0,5.19264,0.0551322,0,9.5318,0.0407858,0,19.1886,0.0285976,0,30.0684,0.0227988,0
0.03,-0.0100769,-0.000101298,0,0.263168,0.271243,0,0.679162,0.217843,0,0.972204,0.187275,0,1.50628,0.152045,0,5.19227,0.0826964,0,9.5317,0.0611785,0,19.1886,0.0428963,0,30.0684,0.0341982,0
0.04,-0.0100762,-0.000135043,0,0.182535,0.33186,0,0.65327,0.286901,0,0.958495,0.248547,0,1.50035,0.202463,0,5.19176,0.110258,0,9.53154,0.0815709,0,19.1885,0.0571951,0,30.0684,0.0455976,0
0.05,-0.0100754,-0.000168771,0,0.0884558,0.369297,0,0.620444,0.352959,0,0.940962,0.308838,0,1.49273,0.252654,0,5.19111,0.137817,0,9.53135,0.101963,0,19.1885,0.0714938,0,30.0684,0.056997,0
0.06,-0.0100744,-0.000202478,0,-0.0125812,0.380646,0,0.581022,0.415323,0,0.919675,0.367909,0,1.48343,0.302564,0,5.1903,0.165372,0,9.53111,0.122354,0,19.1884,0.0857925,0,30.0684,0.0683964,0
0.07,-0.0100732,-0.000236161,0,-0.113439,0.364779,0,0.535414,0.473338,0,0.894717,0.425527,0,1.47247,0.352136,0,5.18936,0.192922,0,9.53082,0.142745,0,19.1884,0.100091,0,30.0683,0.0797958,0
0.08,-0.0100718,-0.000269817,0,-0.206822,0.322518,0,0.484093,0.526394,0,0.866187,0.481463,0,1.45986,0.401314,0,5.18826,0.220467,0,9.5305,0.163136,0,19.1883,0.11439,0,30.0683,0.0911952,0
0.09,-0.0100702,-0.000303443,0,-0.285827,0.256669,0,0.427594,0.573929,0,0.834197,0.535498,0,1.4456,0.450045,0,5.18702,0.248006,0,9.53013,0.183525,0,19.1882,0.128688,0,30.0683,0.102595,0
